end;AccountsPayableCurrent;AccountsReceivableGrossCurrent;AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment;AccumulatedOtherComprehensiveIncomeLossNetOfTax;AdditionalPaidInCapitalCommonStock;AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue;AllowanceForDoubtfulAccountsReceivableCurrent;AmortizationOfIntangibleAssets;Assets;AssetsCurrent;AssetsFairValueDisclosure;CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents;ComprehensiveIncomeNetOfTax;ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest;ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest;ContractWithCustomerAssetNetNoncurrent;ContractWithCustomerLiabilityCurrent;ContractWithCustomerLiabilityRevenueRecognized;ContractWithCustomerPerformanceObligationSatisfiedInPreviousPeriod;CostsAndExpenses;DebtCurrent;DebtInstrumentFairValue;DebtLongtermAndShorttermCombinedAmount;DeferredCosts;DeferredIncomeTaxAssetsNet;DeferredIncomeTaxLiabilitiesNet;DepreciationDepletionAndAmortization;DerivativeNotionalAmount;DividendsCommonStockCash;EquitySecuritiesFvNi;EquitySecuritiesFvNiCost;EquitySecuritiesFvNiGainLoss;FairValueDisclosureOffbalanceSheetRisksFaceAmountLiability;FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetValue;FiniteLivedIntangibleAssetsAccumulatedAmortization;FiniteLivedIntangibleAssetsAmortizationExpenseNextTwelveMonths;FiniteLivedIntangibleAssetsAmortizationExpenseRemainderOfFiscalYear;FiniteLivedIntangibleAssetsAmortizationExpenseYearFive;FiniteLivedIntangibleAssetsAmortizationExpenseYearFour;FiniteLivedIntangibleAssetsAmortizationExpenseYearThree;FiniteLivedIntangibleAssetsAmortizationExpenseYearTwo;FiniteLivedIntangibleAssetsGross;FiniteLivedIntangibleAssetsNet;Goodwill;IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest;IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments;IncomeTaxExpenseBenefit;IndefiniteLivedIntangibleAssetsExcludingGoodwill;IntangibleAssetsGrossExcludingGoodwill;IntangibleAssetsNetExcludingGoodwill;InterestIncomeExpenseNet;InventoryFinishedGoodsNetOfReserves;InventoryNet;InventoryValuationReserves;InventoryWorkInProcessAndRawMaterialsNetOfReserves;InventoryWriteDown;InvestmentsFairValueDisclosure;LeaseCost;LiabilitiesAndStockholdersEquity;LiabilitiesCurrent;LiabilitiesFairValueDisclosure;LongTermDebtAndCapitalLeaseObligations;MinorityInterest;MinorityInterestDecreaseFromDistributionsToNoncontrollingInterestHolders;NetIncomeLoss;NetIncomeLossAttributableToNoncontrollingInterest;OperatingIncomeLoss;OperatingLeaseCost;OtherAssetsCurrent;OtherAssetsNoncurrent;OtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentNetOfTax;OtherComprehensiveIncomeLossCashFlowHedgeGainLossAfterReclassificationAndTax;OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax;OtherComprehensiveIncomeLossNetOfTax;OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToNoncontrollingInterest;OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent;OtherComprehensiveIncomeLossPensionAndOtherPostretirementBenefitPlansAdjustmentNetOfTax;OtherLiabilitiesCurrent;OtherLiabilitiesNoncurrent;OtherLongTermDebt;OtherNonoperatingIncomeExpense;PensionAndOtherPostretirementDefinedBenefitPlansLiabilitiesNoncurrent;ProfitLoss;PropertyPlantAndEquipmentNet;ReceivablesNetCurrent;RestrictedCashAndCashEquivalents;RestructuringCharges;RetainedEarningsAccumulatedDeficit;RevenueFromContractWithCustomerExcludingAssessedTax;RevenueRemainingPerformanceObligation;SellingGeneralAndAdministrativeExpense;ShortTermLeaseCost;StandardProductWarrantyAccrual;StockholdersEquity;StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest;StockholdersEquityOther;UnbilledContractsReceivable;VariableLeaseCost;StockPrice
2016-09-30;;;;;26302862160.897827;50990966.05435662;238899861.999572;65000000.0;0.0;;;2021000000.0;0.0;-2000000.0;-19000000.0;;3618081661.489995;506000000.0;30000000.0;2848000000.0;432698810.6889525;;5043665210.936012;140395657.00890973;424170592.64293015;;132000000.0;3549136591.698426;253282285.6587039;1761733052.6103373;872051542.0022287;20413023.11365719;4634856505.403331;-70453906.06969455;2815856105.706534;;;50218415.07285007;78252238.64888154;109016626.99549244;156219092.86641;4236762098.549795;1421367262.1405244;8523122004.751158;0.0;161000000.0;70000000.0;2064530864.2788956;6366659013.200879;3551264176.791613;-21000000.0;2584212104.048814;4765085706.329133;;2212553203.076477;15000000.0;1389006342.7703748;;0.0;10832830124.133204;;7288283688.824339;-27043203.66301155;-131525858.13521302;114227665.61607544;5000000.0;176000000.0;87080139.8812029;1922907342.879412;2361863400.811595;0.0;;-140000000.0;-110000000.0;-3000000.0;0.0;-31000000.0;;1334592269.8724372;;6000000.0;;91000000.0;2908125467.4915257;;1028481815.7697928;49000000.0;-6664790832.435371;5381419676.815207;26197198499.801044;475000000.0;565069303.7505119;80000000.0;0.0;15264000000.0;-10000000.0;2124040392.8720863;11185659.087761177;28.282249450683594
2017-03-31;3203000000.0;5425000000.0;2586000000.0;-627000000.0;15716000000.0;24000000.0;231000000.0;63000000.0;0.0;16581000000.0;212000000.0;2021000000.0;0.0;0.0;141000000.0;;4194556541.032467;506000000.0;30000000.0;2978000000.0;1866000000.0;4975000000.0;4905000000.0;243787215.76482087;324000000.0;;132000000.0;3549136591.698425;31910435.64084208;-3850509863.8085527;-963981356.7499835;22025907.6383738;3600000000.0;171000000.0;2043000000.0;;108000000.0;345000000.0;361000000.0;397000000.0;422000000.0;6817000000.0;4774000000.0;20395000000.0;0.0;74000000.0;8000000.0;2052000000.0;8869000000.0;6826000000.0;-20000000.0;3037000000.0;5309000000.0;;2272000000.0;15000000.0;-3376956592.9407067;153897824.43293494;0.0;8732000000.0;196000000.0;3039000000.0;25163000000.0;622652455.5466447;85318514.92455064;-2000000.0;86000000.0;104723161.5177604;1301000000.0;1668000000.0;26000000.0;;46000000.0;75000000.0;2000000.0;0.0;1000000.0;2120000000.0;996000000.0;;8000000.0;1262000000.0;66000000.0;6255000000.0;5194000000.0;1247000000.0;35000000.0;-104000000.0;8443307251.789335;35943539243.089386;492000000.0;142048951.67800906;68000000.0;0.0;14652000000.0;-10000000.0;2761000000.0;31668380.15153761;33.718345642089844
2017-06-30;3203000000.0;5425000000.0;2586000000.0;-627000000.0;15716000000.0;24000000.0;231000000.0;86000000.0;0.0;16581000000.0;212000000.0;2021000000.0;0.0;7000000.0;-161000000.0;;-1926225770.569464;506000000.0;10000000.0;3081000000.0;1866000000.0;4975000000.0;4905000000.0;243787215.7648208;324000000.0;;217333333.3333333;3549136591.6984243;29734887.379957374;19136235081.70762;5458539524.71056;55896482.65742181;3600000000.0;171000000.0;2043000000.0;;108000000.0;345000000.0;361000000.0;397000000.0;422000000.0;6817000000.0;4774000000.0;20395000000.0;0.0;-30000000.0;-10000000.0;2052000000.0;8869000000.0;6826000000.0;-14000000.0;3037000000.0;5309000000.0;372000000.0;2272000000.0;4000000.0;18405744873.02121;147000000.0;0.0;8732000000.0;196000000.0;3039000000.0;25163000000.0;127000000.0;62854716.74747048;6000000.0;-66000000.0;42848511.251603976;1301000000.0;1668000000.0;-25000000.0;;-119000000.0;-141000000.0;1000000.0;0.0;2000000.0;2120000000.0;996000000.0;20000000.0;50000000.0;1262000000.0;-20000000.0;6255000000.0;5194000000.0;1247000000.0;38000000.0;-104000000.0;8594149205.90286;21300000000.0;461000000.0;137308368.36337954;67000000.0;0.0;16203000000.0;-16500000.0;2761000000.0;32706133.35255491;30.81400489807129
2017-09-30;3203000000.0;5425000000.0;2586000000.0;-627000000.0;15716000000.0;24000000.0;231000000.0;152000000.0;54810000000.0;16581000000.0;212000000.0;4777000000.0;-32000000.0;-54000000.0;-86000000.0;1652000000.0;1630000000.0;254000000.0;10000000.0;5494000000.0;1866000000.0;4975000000.0;4905000000.0;245000000.0;324000000.0;;302666666.6666666;7156231691.200817;-13636575.81899798;27955520290.486893;7895385553.878365;18800138.588940617;3600000000.0;171000000.0;2043000000.0;;108000000.0;345000000.0;361000000.0;397000000.0;422000000.0;6817000000.0;4774000000.0;20395000000.0;-22000000.0;-230000000.0;114000000.0;2052000000.0;8869000000.0;6826000000.0;-41000000.0;3037000000.0;5309000000.0;372000000.0;2272000000.0;12000000.0;26769058679.62153;147000000.0;54810000000.0;8732000000.0;196000000.0;3039000000.0;25163000000.0;127000000.0;-218249706.16199124;-223000000.0;-193000000.0;55667915.54150553;1301000000.0;1668000000.0;1000000.0;;265000000.0;271000000.0;169000000.0;102000000.0;4000000.0;2120000000.0;996000000.0;20000000.0;4000000.0;1262000000.0;-357000000.0;6255000000.0;5194000000.0;1247000000.0;191000000.0;-104000000.0;7915289843.33193;21300000000.0;795000000.0;134823922.96488938;165000000.0;14985000000.0;39333000000.0;-23000000.0;2761000000.0;28036116.895714797;30.058053970336914
2018-03-31;3439000000.0;6211000000.0;3049000000.0;-585000000.0;14845000000.0;30000000.0;346000000.0;139000000.0;55221000000.0;17054000000.0;205000000.0;5631000000.0;188000000.0;109000000.0;297000000.0;1652000000.0;1630000000.0;602000000.0;10000000.0;5440000000.0;1176000000.0;7320000000.0;7472000000.0;245000000.0;1287000000.0;;388000000.0;8273959998.521227;74550314.5352267;12860432116.258198;3467296986.740763;17187254.06422405;3700000000.0;326000000.0;2302000000.0;;338000000.0;266000000.0;300000000.0;348000000.0;375000000.0;6275000000.0;3974000000.0;20435000000.0;-44000000.0;-85000000.0;-86000000.0;2229000000.0;8504000000.0;6203000000.0;-46000000.0;2527000000.0;4696000000.0;372000000.0;2169000000.0;61000000.0;12366276032.1935;147000000.0;55221000000.0;8325000000.0;129000000.0;6296000000.0;23843000000.0;127000000.0;-14785529.353586778;-89000000.0;-41000000.0;58411140.16725716;862000000.0;1718000000.0;0.0;;312000000.0;316000000.0;198000000.0;118000000.0;3000000.0;2034000000.0;909000000.0;20000000.0;2000000.0;1172000000.0;-19000000.0;6593000000.0;5865000000.0;1124000000.0;125000000.0;-8000000.0;5605394964.950012;21300000000.0;674000000.0;131366220.97457892;169000000.0;14252000000.0;38095000000.0;6000000.0;1931000000.0;9345018.056183424;22.903583526611328
2018-06-30;3574000000.0;6371000000.0;3348000000.0;-787000000.0;14625000000.0;30000000.0;333000000.0;101000000.0;54090000000.0;16442000000.0;221000000.0;4879000000.0;-221000000.0;-356000000.0;-577000000.0;1652000000.0;1630000000.0;404000000.0;12000000.0;5470000000.0;1067000000.0;7061000000.0;7386000000.0;245000000.0;1187000000.0;;378500000.0;7289730856.712154;88307126.53269687;4738614297.597406;1236957414.2045257;50251386.82091381;3400000000.0;310000000.0;2381000000.0;;185000000.0;247000000.0;283000000.0;331000000.0;367000000.0;6125000000.0;3744000000.0;20758000000.0;-66000000.0;58000000.0;62000000.0;2229000000.0;8354000000.0;5973000000.0;-63000000.0;2656000000.0;4675000000.0;413000000.0;2019000000.0;15000000.0;4752323692.453024;188000000.0;54090000000.0;8633000000.0;248000000.0;6319000000.0;23006000000.0;126000000.0;110353886.87289491;-19000000.0;78000000.0;37196076.07412183;850000000.0;1484000000.0;-2000000.0;;-536000000.0;-539000000.0;-337000000.0;-202000000.0;-5000000.0;2362000000.0;1073000000.0;17000000.0;43000000.0;1100000000.0;-38000000.0;6335000000.0;6038000000.0;975000000.0;68000000.0;-27000000.0;5340923657.031799;20900000000.0;662000000.0;157961940.36762008;286000000.0;13811000000.0;36817000000.0;-11000000.0;1911000000.0;6894587.798425462;27.304611206054688
2018-09-30;3686000000.0;6138000000.0;3517000000.0;-821000000.0;14575000000.0;31000000.0;329000000.0;112000000.0;53600000000.0;16118000000.0;72000000.0;4765000000.0;-21000000.0;-31000000.0;-52000000.0;1735000000.0;1587000000.0;281000000.0;3000000.0;5383000000.0;1000000000.0;6983000000.0;7293000000.0;251000000.0;1212000000.0;;369000000.0;7140525907.023013;93000000.0;49000000.0;49000000.0;20413023.1136572;3500000000.0;296000000.0;2465000000.0;;89000000.0;233000000.0;272000000.0;316000000.0;354000000.0;6074000000.0;3609000000.0;20790000000.0;-88000000.0;233000000.0;110000000.0;2222000000.0;8296000000.0;5831000000.0;-55000000.0;2626000000.0;4681000000.0;455000000.0;2055000000.0;12000000.0;339000000.0;200000000.0;53600000000.0;8457000000.0;77000000.0;6293000000.0;22823000000.0;147000000.0;32000000.0;25000000.0;282000000.0;48000000.0;863000000.0;1422000000.0;-1000000.0;4000000.0;-88000000.0;-90000000.0;-56000000.0;-34000000.0;-1000000.0;2184000000.0;1024000000.0;5000000.0;6000000.0;1082000000.0;38000000.0;6226000000.0;5809000000.0;1119000000.0;49000000.0;-14000000.0;5615000000.0;20800000000.0;608000000.0;165000000.0;235000000.0;13740000000.0;36563000000.0;12000000.0;2001000000.0;11000000.0;27.480113983154297
2018-12-31;3802000000.0;6396000000.0;3685500000.0;-977500000.0;16610500000.0;35500000.0;332000000.0;104000000.0;53364500000.0;15515000000.0;74000000.0;3919000000.0;48000000.0;47500000.0;95500000.0;1675500000.0;1755000000.0;417000000.0;5000000.0;5411000000.0;953000000.0;6974500000.0;7234500000.0;197500000.0;1104500000.0;75000000.0;359500000.0;5400000000.0;93000000.0;49000000.0;49000000.0;26461340.081344374;3650000000.0;293000000.0;2554500000.0;;175000000.0;229000000.0;254500000.0;298000000.0;341500000.0;6069500000.0;3515000000.0;20776000000.0;440584881.996727;185500000.0;88500000.0;2232000000.0;8301500000.0;5747000000.0;-57000000.0;2704000000.0;4776000000.0;446500000.0;2072000000.0;6000000.0;339000000.0;212000000.0;53364500000.0;8754500000.0;82000000.0;6281500000.0;20198500000.0;120500000.0;32000000.0;32000000.0;229000000.0;48000000.0;756000000.0;2095500000.0;500000.0;4000000.0;39000000.0;41000000.0;15500000.0;25500000.0;-500000.0;2244500000.0;1311500000.0;51000000.0;13500000.0;1057500000.0;54500000.0;6222000000.0;6064000000.0;1166500000.0;55500000.0;-7000000.0;5615000000.0;20650000000.0;656000000.0;165000000.0;235500000.0;15626000000.0;35824500000.0;17500000.0;1904500000.0;11000000.0;18.054948806762695
2019-03-31;3918000000.0;6654000000.0;3854000000.0;-1134000000.0;18646000000.0;40000000.0;335000000.0;96000000.0;53129000000.0;14912000000.0;55000000.0;3073000000.0;117000000.0;126000000.0;243000000.0;1616000000.0;1923000000.0;553000000.0;7000000.0;5439000000.0;906000000.0;6966000000.0;7176000000.0;144000000.0;997000000.0;75000000.0;350000000.0;5400000000.0;93000000.0;49000000.0;49000000.0;32509657.049031515;3800000000.0;290000000.0;2644000000.0;;261000000.0;225000000.0;237000000.0;280000000.0;329000000.0;6065000000.0;3421000000.0;20762000000.0;969169763.993454;138000000.0;67000000.0;2242000000.0;8307000000.0;5663000000.0;-59000000.0;2782000000.0;4871000000.0;438000000.0;2089000000.0;0.0;339000000.0;224000000.0;53129000000.0;9052000000.0;47000000.0;6270000000.0;17574000000.0;94000000.0;32000000.0;39000000.0;176000000.0;48000000.0;649000000.0;2769000000.0;2000000.0;4000000.0;166000000.0;172000000.0;87000000.0;85000000.0;0.0;2305000000.0;1599000000.0;97000000.0;21000000.0;1033000000.0;71000000.0;6218000000.0;6319000000.0;1214000000.0;62000000.0;0.0;5615000000.0;20500000000.0;704000000.0;165000000.0;236000000.0;17512000000.0;35086000000.0;23000000.0;1808000000.0;11000000.0;23.558979034423828
2019-06-30;3966000000.0;6643000000.0;3918000000.0;-1271000000.0;18668000000.0;46000000.0;333000000.0;97000000.0;52876000000.0;14985000000.0;47000000.0;3138000000.0;-87000000.0;-80000000.0;-167000000.0;1677000000.0;2214000000.0;295000000.0;14000000.0;5723000000.0;892000000.0;7132000000.0;7148000000.0;129000000.0;898000000.0;75000000.0;351250000.0;5400000000.0;93000000.0;40000000.0;40000000.0;-90069566.82942812;3800000000.0;265000000.0;2677000000.0;;169000000.0;226000000.0;240000000.0;280000000.0;323000000.0;5945000000.0;3268000000.0;20705000000.0;-1395323194.7468567;84000000.0;95000000.0;2242000000.0;8187000000.0;5510000000.0;-56000000.0;2751000000.0;4807000000.0;416000000.0;2056000000.0;40000000.0;305000000.0;250000000.0;52876000000.0;9341000000.0;50000000.0;6256000000.0;17393000000.0;94000000.0;-9000000.0;-2000000.0;271000000.0;60000000.0;730000000.0;2799000000.0;-1000000.0;-3000000.0;-139000000.0;-156000000.0;-78000000.0;-78000000.0;13000000.0;2269000000.0;1426000000.0;85000000.0;-131000000.0;997000000.0;-11000000.0;6130000000.0;6310000000.0;1267000000.0;45000000.0;-9000000.0;5994000000.0;20600000000.0;701000000.0;177000000.0;224000000.0;17388000000.0;34781000000.0;-3000000.0;1849000000.0;13000000.0;21.476749420166016
2019-09-30;3870000000.0;6513000000.0;4160000000.0;-1694000000.0;23570000000.0;50000000.0;348000000.0;85000000.0;52549000000.0;14769000000.0;51000000.0;2808000000.0;-16000000.0;18000000.0;2000000.0;1674000000.0;2436000000.0;156000000.0;-31000000.0;5585000000.0;694000000.0;7159000000.0;7008000000.0;130000000.0;943000000.0;74000000.0;352500000.0;4900000000.0;93000000.0;39000000.0;39000000.0;-13000000.0;4000000000.0;265000000.0;2746000000.0;;86000000.0;226000000.0;239000000.0;279000000.0;325000000.0;5935000000.0;3189000000.0;20654000000.0;-1330392009.7568855;224000000.0;107000000.0;2242000000.0;8177000000.0;5431000000.0;-59000000.0;2707000000.0;4739000000.0;424000000.0;2032000000.0;80000000.0;304000000.0;276000000.0;52549000000.0;9332000000.0;44000000.0;6313000000.0;12560000000.0;94000000.0;57000000.0;60000000.0;297000000.0;61000000.0;1057000000.0;2760000000.0;-1000000.0;2000000.0;-123000000.0;-115000000.0;-42000000.0;-73000000.0;-7000000.0;2332000000.0;1417000000.0;146000000.0;-14000000.0;977000000.0;117000000.0;6141000000.0;6165000000.0;1157000000.0;38000000.0;0.0;5882000000.0;22200000000.0;679000000.0;202000000.0;222000000.0;21876000000.0;34436000000.0;-40000000.0;1851000000.0;13000000.0;19.93951988220215
2019-12-31;3930500000.0;6497000000.0;4333000000.0;-1749000000.0;23528000000.0;53000000.0;340500000.0;84500000.0;44889000000.0;14711000000.0;58000000.0;2909000000.0;-5205500000.0;-2975000000.0;-8180500000.0;1656000000.0;2816000000.0;331500000.0;-12500000.0;13534500000.0;452000000.0;6512500000.0;6751500000.0;136000000.0;1129000000.0;194000000.0;353750000.0;5200000000.0;105500000.0;20500000.0;20500000.0;-13000000.0;4050000000.0;226000000.0;2660000000.0;237000000.0;149000000.0;199000000.0;210500000.0;240000000.0;280500000.0;5422000000.0;2762000000.0;13266000000.0;-36904231925.92612;-7934500000.0;56000000.0;2241500000.0;7663500000.0;5003500000.0;-59000000.0;2590500000.0;4636500000.0;422000000.0;2046000000.0;120000000.0;246500000.0;260000000.0;44889000000.0;9736500000.0;27000000.0;6299000000.0;9537500000.0;81000000.0;-5085000000.0;-2905500000.0;-7881000000.0;66500000.0;1009000000.0;2872000000.0;-1500000.0;-3000000.0;-200000000.0;-190000000.0;-69500000.0;-120500000.0;-14500000.0;2538000000.0;1448000000.0;134000000.0;5500000.0;1001000000.0;-7990500000.0;6069000000.0;6156500000.0;1080500000.0;236500000.0;-5106000000.0;5653500000.0;22450000000.0;677000000.0;181500000.0;219500000.0;16673000000.0;26210500000.0;-9500000.0;1838500000.0;12000000.0;22.210145950317383
2020-03-31;3991000000.0;6481000000.0;4506000000.0;-1804000000.0;23486000000.0;56000000.0;333000000.0;84000000.0;37229000000.0;14653000000.0;61000000.0;3010000000.0;-10395000000.0;-5968000000.0;-16363000000.0;1638000000.0;3196000000.0;507000000.0;6000000.0;21484000000.0;210000000.0;5866000000.0;6495000000.0;142000000.0;1315000000.0;314000000.0;355000000.0;5500000000.0;118000000.0;2000000.0;2000000.0;-13000000.0;4100000000.0;187000000.0;2574000000.0;237000000.0;212000000.0;172000000.0;182000000.0;201000000.0;236000000.0;4909000000.0;2335000000.0;5878000000.0;-72478071842.09534;-16093000000.0;5000000.0;2241000000.0;7150000000.0;4576000000.0;-59000000.0;2474000000.0;4534000000.0;420000000.0;2060000000.0;160000000.0;189000000.0;244000000.0;37229000000.0;10141000000.0;36000000.0;6285000000.0;6515000000.0;68000000.0;-10227000000.0;-5871000000.0;-16059000000.0;72000000.0;961000000.0;2984000000.0;-2000000.0;-8000000.0;-277000000.0;-265000000.0;-97000000.0;-168000000.0;-22000000.0;2744000000.0;1479000000.0;122000000.0;25000000.0;1025000000.0;-16098000000.0;5997000000.0;6148000000.0;1004000000.0;435000000.0;-10212000000.0;5425000000.0;22700000000.0;675000000.0;161000000.0;217000000.0;11470000000.0;17985000000.0;21000000.0;1826000000.0;11000000.0;9.172842025756836
