end;AccountsPayableCurrent;AccountsReceivableNetCurrent;AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment;AccumulatedOtherComprehensiveIncomeLossNetOfTax;AdditionalPaidInCapital;AdjustmentsToAdditionalPaidInCapitalShareBasedCompensationRestrictedStockUnitsRequisiteServicePeriodRecognition;AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue;AllocatedShareBasedCompensationExpense;AssetRetirementObligation;AssetRetirementObligationAccretionExpense;AssetRetirementObligationCurrent;AssetRetirementObligationLiabilitiesIncurred;AssetRetirementObligationLiabilitiesSettled;AssetRetirementObligationRevisionOfEstimate;AssetRetirementObligationsNoncurrent;Assets;AssetsCurrent;CapitalExpendituresIncurredButNotYetPaid;CapitalizedExploratoryWellCostAdditionsPendingDeterminationOfProvedReserves;CapitalizedExploratoryWellCosts;CapitalizedExploratoryWellCostsThatHaveBeenCapitalizedForPeriodGreaterThanOneYear;CapitalizedExploratoryWellCostsThatHaveBeenCapitalizedForPeriodOfOneYearOrLess;CashAndCashEquivalentsAtCarryingValue;CashAndCashEquivalentsPeriodIncreaseDecrease;CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents;CommonStockValue;ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest;CostsAndExpenses;DebtInstrumentCarryingAmount;DebtInstrumentFairValue;DeferredIncomeTaxAssetsNet;DeferredIncomeTaxExpenseBenefit;DeferredIncomeTaxLiabilitiesNet;DeferredTaxAssetsNetCurrent;DeferredTaxLiabilitiesCurrent;DeferredTaxLiabilitiesNoncurrent;DepreciationDepletionAndAmortization;DerivativeAssetsCurrent;DerivativeCollateralObligationToReturnCash;DerivativeCollateralRightToReclaimCash;DerivativeLiabilitiesCurrent;DividendsCommonStock;DividendsPayableCurrentAndNoncurrent;EffectOfExchangeRateOnCashAndCashEquivalents;ExplorationExpense;GainLossOnDispositionOfAssets1;GainsLossesOnSalesOfAssets;GeneralAndAdministrativeExpense;ImpairmentOfOilAndGasProperties;IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest;IncomeTaxExpenseBenefit;IncomeTaxesPaidNet;IncomeTaxesReceivable;IncreaseDecreaseInAccountsPayable;IncreaseDecreaseInAccruedTaxesPayable;IncreaseDecreaseInInventories;IncreaseDecreaseInOtherOperatingAssets;IncreaseDecreaseInOtherOperatingLiabilities;IncreaseDecreaseInReceivables;InterestCostsCapitalized;InterestExpense;InterestPaidNet;InventoryNet;LiabilitiesAndStockholdersEquity;LiabilitiesCurrent;LongTermDebtCurrent;LongTermDebtNoncurrent;NaturalGasProductionRevenue;NetCashProvidedByUsedInFinancingActivities;NetCashProvidedByUsedInInvestingActivities;NetCashProvidedByUsedInOperatingActivities;NetIncomeLoss;NetIncomeLossAvailableToCommonStockholdersBasic;OilAndCondensateRevenue;OilAndGasPropertySuccessfulEffortMethodGross;OperatingIncomeLoss;OperatingLeaseExpense;OperatingLeaseLiabilityCurrent;OtherAssetsCurrent;OtherAssetsNoncurrent;OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax;OtherComprehensiveIncomeLossNetOfTax;OtherComprehensiveIncomeOtherNetOfTax;OtherLiabilitiesCurrent;OtherLiabilitiesNoncurrent;OtherNoncashIncomeExpense;OtherNonoperatingIncomeExpense;PaymentsForRepurchaseOfCommonStock;PaymentsOfOrdinaryDividends;PaymentsToAcquireOilAndGasPropertyAndEquipment;PaymentsToAcquireOtherPropertyPlantAndEquipment;PensionAndOtherPostretirementBenefitExpense;ProceedsFromSaleOfOilAndGasPropertyAndEquipment;ProceedsFromStockOptionsExercised;PropertyPlantAndEquipmentGross;PropertyPlantAndEquipmentNet;PropertyPlantAndEquipmentOther;ReceivablesNetCurrent;ReclassificationToWellFacilitiesAndEquipmentBasedOnDeterminationOfProvedReserves;ResultsOfOperationsDryHoleCosts;ResultsOfOperationsTransportationCosts;RetainedEarningsAccumulatedDeficit;Revenues;ShareBasedCompensation;StockholdersEquity;StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest;TaxesPayableCurrent;TreasuryStockValue;UnrealizedGainLossOnDerivativesAndCommodityContracts
2008-06-30;434948520.81231403;;46635013064.94921;302098283.4072842;5847253890.5761595;;;;-84185365.3707428;;;5749605.75521114;;;-261606774.58216476;35551583123.00823;4913806500.875473;;;135488565.88247347;;86743022.5869175;108101000.0;;777801478.9081326;209655109.9078641;168992654.79255188;871703000.0;7302552805.393837;8561041019.594797;161216046.12279987;;6072364592.76018;;214590740.32083297;1.322569907492747e+22;1355133112.0570881;162485994.3983886;;4746538.873083863;70446088.7532174;;38631949.204537965;-2000000.0;59511000.0;;;61640000.0;48875000.0;1429000000.0;69177000.0;23220487.087267533;;-35168968.07508755;114664054.80706412;;10589189.169666432;;;85094953.6663321;50333000.0;26091731.533120632;;35698899937.46371;8010055378.355202;;4536103216.884704;1340557000.0;69784682.62449586;;;178206000.0;178206000.0;;1995200299.5735207;243103000.0;;;-68461222.04289985;215729898.61393166;31969644.438395474;27046408.375798956;;137234010.1172892;-3093793745.895072;-2440239.557893633;13309000.0;146404614.04348588;-990145505.503986;;160771151.10341123;12000000.0;;-28584218.984574795;47145443321.308304;1.3458985856691051e+20;1.0123403722152472e+18;722695000.0;-250860407.28240365;;194954819.82563105;-2.07337658719021e+19;1095512000.0;3.33621050416253e+17;9014497000.0;1.4816529406976893e+19;-180253116.26186353;-20608732.48536496;-1212068549.4479966
2008-09-30;1208932115.3376808;;9018974000.0;130503000.0;395128000.0;;;22100000.0;387474000.0;;19834000.0;5749605.75521114;;;367640000.0;16792752000.0;2210276000.0;;;135488565.88247353;;86743022.58691752;885977000.0;;3368484160.5150476;202505000.0;135491000.0;871703000.0;7014972026.363931;7054231535.722744;43414121.244394094;;5842167267.819498;;213413000.0;3033271000.0;375592000.0;606595000.0;;17103668.009708494;11758000.0;-70757010.62559938;16077060.360865206;-2000000.0;37943000.0;-3282470.624657838;25480021.339664686;70893000.0;32142000.0;1429000000.0;837667000.0;24319786.539108746;19078000.0;193856065.09012687;-55732297.7379438;;-53631695.90733225;;;83752.08843545243;50333000.0;47351313.724442475;;16792752000.0;1189620000.0;37000000.0;2760000000.0;1259130000.0;-352625846.39214325;;;113235333.33333334;1556285000.0;;21328406530.28241;2392183000.0;;;63763000.0;136797000.0;31969644.438395474;27046408.37579895;;92943000.0;550339000.0;-2440239.557893631;13864000.0;33306180.15814504;-694048952.8290381;;117025402.79367328;12000000.0;104366593.0660911;10596840.281338006;23464653000.0;14445679000.0;1172546000.0;722695000.0;-168150355.18097606;33643000.0;126849373.30485761;8535559000.0;3263886000.0;9575362.233522207;9014497000.0;8348390707.119732;-192658466.4693505;4173000.0;33570000.0
2008-12-31;783764000.0;604260000.0;9018974000.0;130503000.0;395128000.0;;;22100000.0;387474000.0;;19834000.0;5749605.75521114;;;367640000.0;16792752000.0;2210276000.0;;;135488565.88247353;;86743022.58691752;796470500.0;;3502705678.0786357;202505000.0;135491000.0;866362000.0;6999041960.281504;7036174980.921646;39453838.40311791;;5842167267.819498;;213413000.0;3033271000.0;375592000.0;606595000.0;;17554712.4739097;11758000.0;-62893859.64138597;16015432.252623603;-2000000.0;36125000.0;-2808167.9134082943;-232000.0;64826500.0;39594000.0;1429000000.0;415408500.0;24319786.539108746;19078000.0;203696058.96711713;-52144684.047526285;;-52279555.89334862;;;7651369.166132551;50333000.0;47862069.016420655;;16792752000.0;1189620000.0;37000000.0;2760000000.0;859587000.0;-161492730.68815994;;;48264666.66666667;769789500.0;;22531778973.333984;1196100500.0;;;63763000.0;136797000.0;31969644.438395474;27046408.375798948;;92943000.0;550339000.0;-2440239.557893632;7550500.0;1732601.2568030655;-371031222.4846352;;93026638.27626458;12000000.0;103297526.69009553;10546275.118562043;23464653000.0;14445679000.0;1172546000.0;722695000.0;-170192987.57212833;33643000.0;162096432.10289612;8535559000.0;2062462500.0;13305294.713011414;9014497000.0;9517740000.0;86334000.0;4173000.0;33570000.0
2009-06-30;783764000.0;604260000.0;9018974000.0;130503000.0;395128000.0;;;22100000.0;387474000.0;5322000.0;19834000.0;5376000.0;-2542000.0;177000.0;367640000.0;16792752000.0;2210276000.0;451000000.0;9292935.439072864;150571578.31851858;;95163619.35053006;706964000.0;-455667000.0;2886270311.1303973;202505000.0;135491000.0;861021000.0;7031382539.371035;7314932688.545939;23682691.499074295;36695000.0;5801766976.286501;;213413000.0;3033271000.0;375592000.0;606595000.0;;15330058.629127711;11758000.0;-145806210.42405152;14788467.298729464;-187000.0;34307000.0;-8534314.737518795;-232000.0;58760000.0;47046000.0;1429000000.0;-6850000.0;48369000.0;19078000.0;147632000.0;-12341184.843200348;-53312000.0;-13494000.0;-5554000.0;-95770000.0;18000000.0;50333000.0;4842000.0;;16792752000.0;1189620000.0;37000000.0;2760000000.0;460044000.0;-36089000.0;-1039678000.0;620287000.0;-16706000.0;-16706000.0;;24784005012.188377;18000.0;;;63763000.0;136797000.0;31506077.122940294;26632384.65466966;;92943000.0;550339000.0;2659726.771915924;1237000.0;5347000.0;36289000.0;1063390000.0;61483000.0;6400000.0;3766000.0;5277000.0;23464653000.0;14445679000.0;1172546000.0;570262000.0;-13873856.63620527;33643000.0;197343490.90093452;8535559000.0;861039000.0;22494000.0;9259522000.0;9517740000.0;86334000.0;4173000.0;33570000.0
2009-09-30;783764000.0;604260000.0;9524312000.0;291627000.0;528544000.0;;;26000000.0;433849000.0;5322000.0;22923000.0;5376000.0;-2542000.0;177000.0;410926000.0;17221293000.0;1831689000.0;451000000.0;9292935.439072864;165430000.0;73900000.0;91530000.0;608511000.0;-455667000.0;2583409077.3952403;202524000.0;165320000.0;971546000.0;4721810545.33272;4154000000.0;88799274.93036792;36695000.0;5783550905.785752;1169000.0;114304000.0;3133252000.0;385330000.0;290536000.0;;2144068.0138474666;16370000.0;-144543999.91049564;37791027.37825729;-187000.0;44910000.0;-8447143.132138768;-232000.0;62775000.0;69404000.0;1429000000.0;361000.0;48369000.0;27134000.0;147632000.0;-15142710.048194997;-53312000.0;-13494000.0;-5554000.0;-95770000.0;18000000.0;50333000.0;4842000.0;;17221293000.0;1201151000.0;37000000.0;2760000000.0;450304000.0;-36089000.0;-1039678000.0;620287000.0;4196000.0;4196000.0;;26647238000.0;35303000.0;;;61018000.0;137049000.0;30994754.13424845;26175709.131139074;;127124000.0;609150000.0;2593422.58348143;-339000.0;5347000.0;36289000.0;1063390000.0;61483000.0;6400000.0;3766000.0;5277000.0;24776867000.0;15252555000.0;1261505000.0;606772903.2258065;-10791392.441461146;3016000.0;198434264.75726438;8502940000.0;1006849000.0;22494000.0;9529788930.232557;9517740000.0;86334000.0;-7895000.0;20877000.0
2010-03-31;1019710500.0;707202500.0;10118671500.0;303129000.0;592536500.0;;;8500000.0;467950000.0;5322000.0;30938000.0;5376000.0;-2542000.0;177000.0;437012000.0;18343488000.0;1873916000.0;451000000.0;9292935.43907287;165430000.0;73900000.0;91530000.0;230084000.0;-455667000.0;1900745391.1561594;202529500.0;67294500.0;1150791000.0;4653954448.113429;4154000000.0;78896673.2371234;36695000.0;5769259913.747676;1169000.0;62096500.0;3278484500.0;431906000.0;154603500.0;;752259.6861711778;20628000.0;-169107750.2577377;40419945.80372617;-187000.0;51197000.0;-10168268.74660415;-676000.0;60423000.0;69595000.0;1429000000.0;79142000.0;48369000.0;28909000.0;147632000.0;-8279289.433046132;-53312000.0;-13494000.0;-5554000.0;-95770000.0;18000000.0;50333000.0;4842000.0;;18343488000.0;1379644000.0;18500000.0;3247033500.0;676982000.0;-36089000.0;-1039678000.0;620287000.0;118015000.0;29563534.88372093;;26647238000.0;219902000.0;;;79907500.0;131135500.0;30483431.145556603;25719033.6076085;;124302000.0;613946500.0;2527118.3950469247;2683000.0;5347000.0;36289000.0;1063390000.0;61483000.0;6400000.0;3766000.0;5277000.0;26457108000.0;16338436500.0;1375808000.0;643283806.451613;-10222739.460428387;23077000.0;191700464.06254885;8734560500.0;1370693000.0;22494000.0;9800055860.465117;9824379500.0;88192500.0;481000.0;7803000.0
2010-06-30;1255657000.0;810145000.0;10713031000.0;314631000.0;656529000.0;;;9300000.0;470147000.0;5603333.333333333;29473000.0;5570333.333333333;-6387333.333333334;367333.3333333334;440674000.0;19465683000.0;1916143000.0;560333333.3333334;14694000.0;165430000.0;73900000.0;91530000.0;650114000.0;-10634000.0;-175101020.65609258;202535000.0;-30731000.0;1217467000.0;5260000000.0;4154000000.0;61156738.80269703;34893333.333333336;5754954820.757948;1169000.0;9889000.0;3423717000.0;465343000.0;18671000.0;;-15004824.35546372;24886000.0;-390363410.6812569;35762503.03794256;-164666.66666666666;50131000.0;-24949286.79657564;8307000.0;64737000.0;80362000.0;1429000000.0;50187000.0;35519333.333333336;30684000.0;153587000.0;79748000.0;-58119000.0;-15214666.666666666;-829000.0;-101798333.33333333;17333333.333333332;50333000.0;9865333.333333332;;19465683000.0;1558137000.0;0.0;3734067000.0;553354000.0;425877666.6666667;-1169034333.3333333;732687333.3333334;59872000.0;54931069.76744186;757362000.0;26647238000.0;140501000.0;;;98797000.0;125222000.0;43842000.0;37649910.09886412;;121480000.0;618743000.0;2523000.0;-545000.0;8558333.333333334;37193666.666666664;1218211333.3333333;94253333.33333333;6833333.333333333;89213000.0;9305666.666666666;28137349000.0;17424318000.0;1490111000.0;679794709.6774194;-19966000.0;19318000.0;195054750.31371632;8966181000.0;1357968000.0;24139333.333333332;10070322790.697674;10131019000.0;90051000.0;8857000.0;37015000.0
2010-09-30;1541268000.0;897732000.0;11557256000.0;375847000.0;695046000.0;;26000000.0;12600000.0;537179000.0;5884666.666666667;28767000.0;5764666.666666667;-10232666.666666668;557666.6666666667;508412000.0;19944859000.0;1534445000.0;669666666.6666666;14694000.0;153218000.0;67269000.0;85949000.0;27832000.0;434399000.0;-705412070.3841265;202540000.0;-9690000.0;1593770000.0;5260000000.0;4329000000.0;48740010.46392235;33091666.666666668;5737092296.252925;14620500.0;45367000.0;3423942000.0;500888000.0;60728000.0;;-12077747.63238542;29144000.0;-563065371.9993974;25696227.341000527;-142333.33333333334;47307000.0;-33734843.496734254;64809000.0;81310000.0;352908000.0;1429000000.0;32093000.0;22669666.666666668;89357000.0;159542000.0;79748000.0;-62926000.0;-16935333.333333332;3896000.0;-107826666.66666667;16666666.666666666;50333000.0;14888666.666666666;;19944859000.0;1938300000.0;0.0;3768638000.0;602242000.0;887844333.3333334;-1298390666.6666667;845087666.6666666;-70906000.0;80298604.65116279;757362000.0;28208613000.0;-11695000.0;;;77533000.0;160604000.0;43842000.0;7416000.0;;168812000.0;695855000.0;2523000.0;5772000.0;11769666.666666668;38098333.333333336;1373032666.6666667;127023666.66666666;7266666.666666667;174660000.0;13334333.333333332;29807066000.0;18249810000.0;1598453000.0;716305612.9032258;-19966000.0;2700000.0;195231615.25485966;8855869000.0;1582075000.0;25784666.666666668;10340589720.930233;10118124000.0;114763000.0;11178000.0;60998000.0
2011-03-31;1838959000.0;1228549000.0;12748006000.0;485464000.0;2148476000.0;;26000000.0;9400000.0;499241000.0;6166000.0;33315000.0;5959000.0;-14078000.0;748000.0;465926000.0;23545522000.0;3597603000.0;779000000.0;14694000.0;76171000.0;57075000.0;19096000.0;1668285000.0;879432000.0;284876348.8853359;202685000.0;179366000.0;1624655000.0;5260000000.0;5520000000.0;-35779649.32114661;31290000.0;618392781.0194454;28072000.0;7944000.0;3571473000.0;568226000.0;45498000.0;;-7323417.233177057;105231000.0;-831243476.8316109;63967759.59319987;-120000.0;50909000.0;-51870436.79782786;71742000.0;70037000.0;89328000.0;1429000000.0;91749000.0;9820000.0;30546000.0;165497000.0;79748000.0;-67733000.0;-18656000.0;8621000.0;-113855000.0;16000000.0;50333000.0;19912000.0;;23545522000.0;2500191000.0;220000000.0;5004725000.0;583919000.0;1349811000.0;-1427747000.0;957488000.0;133973000.0;105666139.53488372;757362000.0;30526397000.0;272451000.0;;;114827000.0;306467000.0;43842000.0;7416000.0;;150913000.0;680754000.0;2523000.0;3604000.0;14981000.0;39003000.0;1527854000.0;159794000.0;7700000.0;260107000.0;17363000.0;32389458000.0;19641452000.0;1863061000.0;794742056.921101;-19966000.0;22951000.0;195708004.71761274;8963475000.0;1897106000.0;27430000.0;7259276664.617727;11788379000.0;136897000.0;11721000.0;-66746000.0
2011-06-30;1870172000.0;1279740000.0;13463534000.0;492880000.0;2181157000.0;;26000000.0;10500000.0;488233000.0;6562250.0;22959000.0;7187500.0;-16895250.0;562250.0;465274000.0;23959379000.0;3637950000.0;804250000.0;23811500.0;75231000.0;64286000.0;10945000.0;1577438000.0;579158500.0;254751915.6355523;202687000.0;302990000.0;1981997000.0;5260000000.0;5628000000.0;-36847010.43115339;51004500.0;789350470.9058552;0.0;50180000.0;3681009000.0;602944000.0;109225000.0;;-19546385.513023026;12393000.0;-885105318.0763153;63362025.76284579;644500.0;41238000.0;-50473160.524882436;163771000.0;67406000.0;358654000.0;1429000000.0;247650000.0;28353750.0;27694000.0;183279000.0;58520250.0;-48247750.0;-41202000.0;5201000.0;-107878250.0;15000000.0;51253000.0;23310000.0;;23959379000.0;2476238000.0;220000000.0;5006251000.0;599993000.0;1005637000.0;-1414640250.0;987517250.0;295574000.0;;938518000.0;31588860000.0;588253000.0;;;103759000.0;324606000.0;11673000.0;7416000.0;;131872000.0;718696000.0;2003750.0;6224000.0;16253750.0;40064750.0;1615593750.0;162521500.0;8500000.0;307607750.0;18071750.0;33460357000.0;19996823000.0;1871497000.0;817865032.9780596;-15003500.0;1676000.0;183121702.8123808;9213356000.0;2570250000.0;27657000.0;7579792874.799345;12077185000.0;148645000.0;12895000.0;189621000.0
2011-09-30;1926455000.0;1249649000.0;13453905000.0;372448000.0;2230600000.0;;41600000.0;13500000.0;564063000.0;6958500.0;30306000.0;8416000.0;-19712500.0;376500.0;533757000.0;24794678000.0;3735362000.0;829500000.0;32929000.0;80589000.0;44032000.0;36557000.0;1386728000.0;278885000.0;-16282682.250138238;202691000.0;420446000.0;1935714000.0;5260000000.0;5816000000.0;-44728499.96663004;70719000.0;1132717314.6546898;0.0;139646000.0;3858243000.0;651684000.0;364991000.0;78000000.0;-17205700.703233663;0.0;-995171748.0295677;63018591.33945523;1409000.0;48469000.0;-55644941.82604591;207468000.0;82260000.0;83431000.0;1429000000.0;358343000.0;46887500.0;28013000.0;201061000.0;37292500.0;-28762500.0;-63748000.0;1781000.0;-101901500.0;14000000.0;52186000.0;26708000.0;;24794678000.0;2666323000.0;220000000.0;5007746000.0;576803000.0;661463000.0;-1401533500.0;1017546500.0;540878000.0;;953154000.0;32196279000.0;950030000.0;;;125626000.0;323118000.0;-119338000.0;-120432000.0;;179910000.0;768518000.0;1484500.0;1377000.0;17526500.0;41126500.0;1703333500.0;165249000.0;9300000.0;355108500.0;18780500.0;34190103000.0;20736198000.0;1993824000.0;841085878.9419098;-10041000.0;22604000.0;179045721.97105977;9711207000.0;2885744000.0;27884000.0;7839309153.324532;12493848000.0;157297000.0;23098000.0;357664000.0
2011-12-31;2108179000.0;1396570000.0;14344722500.0;400949500.0;2279517500.0;;34950000.0;12200000.0;573753500.0;7354750.0;36381500.0;9644500.0;-22529750.0;190750.0;537372000.0;25175107000.0;3388697500.0;854750000.0;42046500.0;96911000.0;44546000.0;52365000.0;840396000.0;-21388500.0;-448351705.25182754;202695500.0;386080000.0;2091296500.0;5150000000.0;5730000000.0;-50931197.983239144;90433500.0;1460522058.7979145;0.0;131239500.0;3924325000.0;700213500.0;408195000.0;78000000.0;-11139527.850544602;12893500.0;-1149010907.7783866;55887815.70870323;2173500.0;45638000.0;-70161714.5194664;137468000.0;79264500.0;108289000.0;1429000000.0;347460967.7419355;65421250.0;26303000.0;218843000.0;16064750.0;-9277250.0;-86294000.0;-1639000.0;-95924750.0;13000000.0;51227500.0;30106000.0;;25175107000.0;2719335000.0;251096500.0;5009134500.0;472043500.0;317289000.0;-1388426750.0;1047575750.0;523752903.2258065;;1131744500.0;33644312500.0;921254838.7096775;;;146300000.0;351390000.0;-46406500.0;-46363500.0;;172505000.0;779467000.0;965250.0;6004000.0;18799250.0;42188250.0;1791073250.0;167976500.0;10100000.0;402609250.0;19489250.0;35779742000.0;21435019500.0;2135429500.0;872562692.6803124;-5078500.0;11302000.0;180476691.79141447;9889374000.0;2944849032.2580647;28111000.0;8125703232.566572;12742845500.0;140344000.0;29691000.0;245936000.0
