end;AccountsPayableCurrent;AccrualForEnvironmentalLossContingencies;AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment;AccumulatedOtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentNetOfTax;AccumulatedOtherComprehensiveIncomeLossDefinedBenefitPensionAndOtherPostretirementPlansNetOfTax;AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax;AccumulatedOtherComprehensiveIncomeLossNetOfTax;AdditionalPaidInCapitalCommonStock;AllowanceForDoubtfulAccountsReceivableCurrent;Assets;AssetsCurrent;AvailableForSaleSecurities;CashAndCashEquivalentsAtCarryingValue;CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents;CommonStockValue;ComprehensiveIncomeNetOfTax;ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest;ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest;CostOfGoodsSold;CostOfServices;CostsAndExpenses;DeferredCompensationLiabilityClassifiedNoncurrent;DeferredIncomeTaxAssetsNet;DepreciationDepletionAndAmortization;DiscontinuedOperationTaxEffectOfDiscontinuedOperation;DividendsCommonStock;EffectOfExchangeRateOnCashAndCashEquivalents;EmployeeRelatedLiabilitiesCurrent;GainsLossesOnExtinguishmentOfDebt;GeneralAndAdministrativeExpense;Goodwill;IncomeLossFromContinuingOperations;IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest;IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest;IncomeLossFromDiscontinuedOperationsNetOfTax;IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToReportingEntity;IncomeTaxExpenseBenefit;IncomeTaxesPaidNet;IncreaseDecreaseInAccountsPayable;IncreaseDecreaseInAccountsReceivable;IncreaseDecreaseInInventories;InterestIncomeExpenseNonoperatingNet;InterestPaidNet;InventoryFinishedGoodsNetOfReserves;InventoryLIFOReserve;InventoryNet;InventoryRawMaterialsAndSupplies;InventoryValuationReserves;InventoryWorkInProcess;InvestmentIncomeInterest;LIFOInventoryAmount;Liabilities;LiabilitiesAndStockholdersEquity;LiabilitiesCurrent;LongTermDebtAndCapitalLeaseObligations;LongTermDebtCurrent;LongTermDebtNoncurrent;MinorityInterest;NetCashProvidedByUsedInFinancingActivities;NetCashProvidedByUsedInInvestingActivities;NetCashProvidedByUsedInOperatingActivities;NetIncomeLoss;NetIncomeLossAttributableToNoncontrollingInterest;OperatingIncomeLoss;OperatingLeaseLiabilityCurrent;OperatingLeaseLiabilityNoncurrent;OperatingLeaseRightOfUseAsset;OtherAssetsCurrent;OtherAssetsNoncurrent;OtherComprehensiveIncomeLossNetOfTax;OtherComprehensiveIncomeOtherNetOfTax;OtherLiabilitiesCurrent;OtherLiabilitiesNoncurrent;OtherNoncashIncomeExpense;OtherNonoperatingIncomeExpense;OtherRestructuringCosts;PaymentsForProceedsFromOtherInvestingActivities;PaymentsOfDividendsCommonStock;PaymentsToAcquireProductiveAssets;ProceedsFromPaymentsForOtherFinancingActivities;ProfitLoss;PropertyPlantAndEquipmentNet;ReceivablesNetCurrent;RestructuringCharges;RestructuringSettlementAndImpairmentProvisions;RetainedEarningsAccumulatedDeficit;RevenueFromContractWithCustomerIncludingAssessedTax;SalesRevenueGoodsNet;SalesRevenueNet;SalesRevenueServicesNet;StockholdersEquity;StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest;StockholdersEquityOther;StockIssuedDuringPeriodValueShareBasedCompensation;StockRepurchaseProgramRemainingAuthorizedRepurchaseAmount1;TangibleAssetImpairmentCharges;TreasuryStockValue
2008-09-30;3126500000.0;;;-29845057.24703072;;-76026065.19709462;;;390780289.73774624;22309047820.81576;10139244898.6908;103432570.99407423;973000000.0;;2664672699.4082203;288000000.0;3000000.0;291000000.0;1055000000.0;2670000000.0;3802000000.0;;2927717070.234436;366990142.67876923;-1000000.0;151277755.79859674;-10000000.0;718564356.3558861;204691713.51848486;78000000.0;2670277297.9970236;672000000.0;-1819154857.0079083;265000000.0;0.0;0.0;-1390539730.943938;104537556.39951119;-18000000.0;;-65000000.0;-112147100.68757468;66000000.0;1430233832.73794;;1819673202.7187762;926532500.3425528;308364673.9370438;;6000000.0;159109949.4913944;14730197467.467398;22309047820.81576;4083576210.9747543;13038013811.965332;;10485945924.205078;24230179.65029287;1937000000.0;-465000000.0;381000000.0;672000000.0;3000000.0;1051000000.0;;;1231021033.9700644;829378993.782006;1529238934.575358;;;980722329.0855875;;346610483.1870883;-4000000.0;8405562.0313924;-53000000.0;154073586.22855058;518000000.0;42000000.0;675000000.0;7103237725.518311;2933860917.6333237;-252025222.66460425;-15968650224.192326;13227003488.933529;6804066935.683069;1245000000.0;5206841429.680025;3608000000.0;8418026315.021502;8324000000.0;;;5258089309.572372;-116839301.70674974;6886491044.816263
2009-03-31;800000000.0;;5067000000.0;-27506517.123170808;;-81263373.09630904;;;89000000.0;16337000000.0;8699000000.0;113701738.4391365;2967000000.0;;2667000000.0;288000000.0;3000000.0;291000000.0;828000000.0;2411000000.0;3291000000.0;;282554661.68359375;382367690.3550055;0.0;147626102.84064364;-10000000.0;487000000.0;217012539.52994362;52000000.0;1093000000.0;379000000.0;452514977.91271585;265000000.0;-1000000.0;-1000000.0;124000000.0;103283712.06751001;-18000000.0;;-65000000.0;-163802032.86788177;66000000.0;1220549970.9277878;;1716000000.0;486550768.3850147;310034825.67048556;74751965.76796803;2000000.0;83029142.90086715;7761000000.0;16337000000.0;2184000000.0;10206656573.678043;0.0;15475652635.723907;27000000.0;1937000000.0;-465000000.0;381000000.0;378000000.0;2000000.0;616000000.0;;864463484.6750205;168259370.6641134;497000000.0;981000000.0;;;513000000.0;538000000.0;363215824.81780326;-5000000.0;7996684.034421498;-53000000.0;151415817.4825858;518000000.0;42000000.0;380000000.0;5564000000.0;3098000000.0;201108276.59369248;-2995145258.6142697;10702000000.0;7244379857.331999;957000000.0;4497016255.02631;2950000000.0;8549000000.0;8324000000.0;;;5426491221.352566;294752734.1216466;5015000000.0
2009-06-30;800000000.0;;5067000000.0;-18575781.39926792;127943225.26217031;-69498697.31646168;-213000000.0;;89000000.0;16337000000.0;8699000000.0;140372283.49338913;1568000000.0;;2667000000.0;288000000.0;3000000.0;291000000.0;807000000.0;2163000000.0;3018000000.0;;252454581.71899414;382404036.6646381;1000000.0;138142220.6020292;-9750000.0;487000000.0;209881260.74773034;48000000.0;1093000000.0;263000000.0;396872248.4769828;265000000.0;-1000000.0;-1000000.0;124000000.0;100027293.09035756;33250000.0;;-62250000.0;-168149870.2263086;82750000.0;1210117963.1780095;;1716000000.0;486550768.3850149;230696672.2915694;74751965.76796803;3000000.0;78266722.99749279;7761000000.0;16337000000.0;2184000000.0;9648253661.173244;0.0;10209576753.304464;27000000.0;1443500000.0;-591250000.0;365000000.0;262000000.0;3000000.0;476000000.0;;864463484.6750203;-63331189.798754334;497000000.0;981000000.0;;;513000000.0;538000000.0;353604673.7202721;-14000000.0;9098089.758160107;-51500000.0;143795147.78675085;489500000.0;34000000.0;265000000.0;5564000000.0;3098000000.0;-71505878.02478403;907655675.1572869;10702000000.0;6708807871.638276;952000000.0;4025062515.6571846;2542000000.0;8549000000.0;8324000000.0;;;5236932419.115112;-182875975.41495115;5015000000.0
2009-09-30;800000000.0;;5067000000.0;-9060410.644400045;127943225.26217031;-57741700.83722736;-213000000.0;;89000000.0;16337000000.0;8699000000.0;167025348.0788231;1675000000.0;;2667000000.0;258000000.0;4000000.0;262000000.0;796000000.0;2269000000.0;3114000000.0;;251507256.07543945;382407837.72274077;2000000.0;128664554.31091094;-9500000.0;487000000.0;206070352.93662235;49000000.0;1093000000.0;265000000.0;381303592.12685674;266000000.0;-3000000.0;-3000000.0;124000000.0;96773008.44267884;84500000.0;;-59500000.0;-172186174.1409402;99500000.0;1192483920.1027138;;1716000000.0;486550768.38501453;259377372.03547755;74751965.76796803;3000000.0;80302273.44006407;7761000000.0;16337000000.0;2184000000.0;9929689536.040344;0.0;12315716934.87124;27000000.0;950000000.0;-717500000.0;349000000.0;262000000.0;4000000.0;474000000.0;;864463484.6750203;152180327.06676424;497000000.0;981000000.0;;;513000000.0;538000000.0;348468538.6861639;-4000000.0;8588507.790790522;-50000000.0;137105974.72481877;461000000.0;26000000.0;266000000.0;5564000000.0;3098000000.0;-50697557.92332995;-116389854.0521341;10702000000.0;7062979998.597144;943000000.0;4134765343.3301344;2645000000.0;8549000000.0;8576000000.0;;;5398674065.981606;-133915878.53433979;5015000000.0
2009-12-31;882000000.0;48000000.0;5236500000.0;1000000.0;143000000.0;-67000000.0;-213000000.0;;88500000.0;16658500000.0;8756500000.0;189740073.95815468;1529000000.0;;2668000000.0;331000000.0;3666666.6666666665;238000000.0;791000000.0;2371000000.0;3213000000.0;;57445841.79577637;383620795.20886683;2500000.0;120587337.10804619;-9250000.0;503500000.0;202042793.73588237;53500000.0;1115500000.0;238000000.0;380949074.77134955;338333333.3333333;-4000000.0;-4000000.0;122500000.0;93999586.89228287;135750000.0;;-56750000.0;-180151689.06255984;116250000.0;1215000000.0;33000000.0;1687000000.0;493000000.0;92000000.0;59000000.0;3000000.0;81000000.0;7890500000.0;16658500000.0;2664500000.0;8504141993.35331;375000000.0;1345383531.0887637;28000000.0;456500000.0;-843750000.0;333000000.0;234000000.0;2500000.0;461500000.0;250802526.6663657;742369572.9182056;-160333316.1531701;519000000.0;1014500000.0;;;523500000.0;582000000.0;343040412.6494827;-22000000.0;8094569.064520106;-48500000.0;129759137.88041078;432500000.0;18000000.0;236500000.0;5772000000.0;3137000000.0;66608576.073786795;-24917139653.049095;10845000000.0;5728228112.830583;929500000.0;4253112787.270466;2745000000.0;8740000000.0;8768000000.0;;;4944533380.286308;280653385.83394337;4965000000.0
2010-03-31;964000000.0;48000000.0;5406000000.0;1000000.0;143000000.0;-67000000.0;-211000000.0;;88000000.0;16980000000.0;8814000000.0;183323678.37755394;1383000000.0;;2669000000.0;404000000.0;3333333.3333333335;214000000.0;786000000.0;2473000000.0;3312000000.0;;3493742465.5317993;382170819.63898754;3000000.0;122868968.02181263;-9000000.0;520000000.0;189973848.3356566;58000000.0;1138000000.0;211000000.0;735000000.0;410666666.6666666;-5000000.0;-5000000.0;121000000.0;94783015.66327657;187000000.0;;-54000000.0;-76000000.0;133000000.0;1215000000.0;33000000.0;1658000000.0;493000000.0;92000000.0;59000000.0;3000000.0;81000000.0;8020000000.0;16980000000.0;3145000000.0;9696698888.04506;750000000.0;-99334288.206429;29000000.0;-37000000.0;-970000000.0;317000000.0;206000000.0;1000000.0;449000000.0;250802526.66636574;620275661.1613908;-250439330.22950196;541000000.0;1048000000.0;;;534000000.0;626000000.0;326774542.05713737;-40000000.0;8825963.576922545;-47000000.0;131428723.71251975;404000000.0;10000000.0;207000000.0;5980000000.0;3176000000.0;230930881.57776684;-49409002666.589455;10988000000.0;4541723377.926832;916000000.0;4665000000.0;2845000000.0;8931000000.0;8960000000.0;;;4989972120.842232;704399968.5059395;4915000000.0
2010-06-30;1069000000.0;48000000.0;5607000000.0;1000000.0;143000000.0;-67000000.0;-209000000.0;;87000000.0;17540000000.0;9203000000.0;176804758.50073433;1160000000.0;;2670000000.0;477000000.0;3000000.0;480000000.0;862000000.0;2716000000.0;3625000000.0;;3362080051.351074;388477360.22939676;-3000000.0;125187055.946486;-8500000.0;583000000.0;198637966.46723333;47000000.0;1132000000.0;474000000.0;735000000.0;483000000.0;6000000.0;6000000.0;200000000.0;95578962.4410507;195250000.0;;-750000.0;-76000000.0;133250000.0;1215000000.0;33000000.0;1767000000.0;493000000.0;92000000.0;59000000.0;3000000.0;81000000.0;8156000000.0;17540000000.0;3315000000.0;9689130147.41473;750000000.0;2357331.914132118;31000000.0;-30000000.0;-956750000.0;379000000.0;480000000.0;3000000.0;762000000.0;250802526.66636574;620275661.1613908;-247494521.89649105;614000000.0;1030000000.0;;;608000000.0;587000000.0;338451570.9649311;-9000000.0;7444499.644927341;-32250000.0;133124987.00088336;479000000.0;9250000.0;483000000.0;6175000000.0;3453000000.0;185833301.25054497;-215946265.58662575;11386000000.0;5029464717.326515;1016000000.0;4665000000.0;3371000000.0;9353000000.0;9384000000.0;;;5008855857.434265;-205188074.68792665;4851000000.0
2010-09-30;1095000000.0;47000000.0;5844000000.0;0.0;142000000.0;-67000000.0;-209000000.0;;86000000.0;18198000000.0;9216000000.0;-212488655.46495056;1875000000.0;;2670000000.0;544000000.0;1000000.0;545000000.0;894000000.0;2891000000.0;3847000000.0;;5178455973.023682;320000000.0;64000000.0;82000000.0;-8000000.0;666000000.0;90308316.94667158;62000000.0;1254000000.0;485000000.0;735000000.0;486000000.0;59000000.0;59000000.0;249000000.0;96000000.0;203500000.0;;52500000.0;-76000000.0;133500000.0;1320000000.0;33000000.0;1889000000.0;504000000.0;89000000.0;65000000.0;3000000.0;97000000.0;8345000000.0;18198000000.0;3333000000.0;11105642348.529472;750000000.0;-2758354186.400933;13000000.0;-23000000.0;-943500000.0;441000000.0;544000000.0;1000000.0;818000000.0;252782889.11403918;620275661.1613908;-180831487.36936283;605000000.0;1242000000.0;;2000000.0;603000000.0;743000000.0;49000000.0;-7000000.0;6627286.401534568;-17500000.0;82000000.0;554000000.0;8500000.0;545000000.0;6486000000.0;3723000000.0;348485121.2001222;-260823444.8550145;11848000000.0;4842704899.173567;1067000000.0;4665000000.0;3598000000.0;9840000000.0;9853000000.0;;;4929765557.624233;12662048.45683366;4773000000.0
2010-12-31;1233500000.0;47000000.0;6078500000.0;1500000.0;158500000.0;-66000000.0;-216428571.42857143;;112500000.0;18594000000.0;9122000000.0;-152018769.1428299;1452500000.0;;2674000000.0;528500000.0;500000.0;529000000.0;932000000.0;3159500000.0;4157500000.0;;6585230723.275635;320000000.0;32000000.0;82000000.0;-7500000.0;651500000.0;81785474.07286279;66000000.0;1288500000.0;498500000.0;738000000.0;499000000.0;29000000.0;29000000.0;239000000.0;96000000.0;211750000.0;;105750000.0;-72500000.0;133750000.0;1388000000.0;34500000.0;1994000000.0;546000000.0;94000000.0;60000000.0;2000000.0;110000000.0;8197500000.0;18594000000.0;3126000000.0;12278614090.290375;744900000.0;-3725614056.3560624;14500000.0;-16000000.0;-930250000.0;503000000.0;527500000.0;500000.0;816000000.0;253101266.25572044;621936138.3612834;-61201443.45143807;640000000.0;1316500000.0;;2000000.0;616500000.0;785500000.0;49000000.0;-5500000.0;5616955.420694664;-2750000.0;82000000.0;629000000.0;7750000.0;528000000.0;6867000000.0;3927500000.0;282475980.8066065;-230561579.75867885;12324000000.0;4932877584.350809;1079000000.0;4973500000.0;3894500000.0;10382000000.0;10396500000.0;;;4977638996.841103;-106690686.43511403;4737000000.0
2011-03-31;1372000000.0;47000000.0;6313000000.0;3000000.0;175000000.0;-66000000.0;-223857142.85714287;430000000.0;139000000.0;18990000000.0;9028000000.0;72616642.6576024;1030000000.0;;2678000000.0;513000000.0;0.0;513000000.0;970000000.0;3428000000.0;4468000000.0;477000000.0;8658497871.491333;320000000.0;0.0;82000000.0;-7000000.0;637000000.0;73262631.19905408;70000000.0;1323000000.0;512000000.0;741000000.0;512000000.0;-1000000.0;-1000000.0;229000000.0;96000000.0;220000000.0;;159000000.0;-69000000.0;134000000.0;1456000000.0;36000000.0;2099000000.0;588000000.0;99000000.0;55000000.0;1000000.0;123000000.0;8050000000.0;18990000000.0;2919000000.0;12828233779.46152;739800000.0;3824000000.0;16000000.0;-9000000.0;-917000000.0;565000000.0;511000000.0;0.0;814000000.0;253419643.3974018;623596615.5611761;38675204.43060744;675000000.0;1391000000.0;;2000000.0;630000000.0;828000000.0;49000000.0;-4000000.0;4606624.43985476;12000000.0;82000000.0;704000000.0;7000000.0;511000000.0;7248000000.0;4132000000.0;225098474.14247698;-200299714.66228217;12800000000.0;6268002859.270871;1091000000.0;5282000000.0;4191000000.0;10924000000.0;10940000000.0;;;5383886408.164509;-223386077.0051065;4701000000.0
2011-06-30;1554000000.0;46000000.0;6611000000.0;3000000.0;176000000.0;-64000000.0;-231285714.28571427;430000000.0;128000000.0;19956000000.0;9540000000.0;36810387.48748088;1438000000.0;;2680000000.0;740000000.0;2000000.0;742000000.0;1050000000.0;3659000000.0;4774000000.0;477000000.0;9683531655.740479;336250000.0;1000000.0;82250000.0;-5500000.0;706000000.0;68034766.2435894;65000000.0;1369000000.0;739000000.0;1093000000.0;741000000.0;0.0;0.0;352000000.0;113250000.0;191000000.0;;205750000.0;-63000000.0;131000000.0;1559000000.0;40000000.0;2235000000.0;621000000.0;104000000.0;55000000.0;2000000.0;129000000.0;8298000000.0;19956000000.0;3166000000.0;13003098073.81755;734700000.0;3824000000.0;16000000.0;-19000000.0;-869500000.0;607250000.0;739000000.0;2000000.0;1161000000.0;256249011.55622542;625257092.7610689;110157869.44434679;710000000.0;1421000000.0;;2000000.0;646000000.0;825000000.0;10250000.0;-5000000.0;4115123.242954472;7750000.0;82250000.0;723500000.0;13750000.0;741000000.0;7626000000.0;4448000000.0;315748263.1814577;-349820716.34119815;13456000000.0;6721679170.996376;1208000000.0;5935000000.0;4727000000.0;11642000000.0;11658000000.0;;;5405745146.144894;-97442205.8102001;4617000000.0
2011-09-30;1733000000.0;58000000.0;6842000000.0;1000000.0;175000000.0;-65000000.0;-238714285.7142857;430000000.0;141000000.0;21204000000.0;10306000000.0;-9420166.115784764;1775000000.0;;2682000000.0;680000000.0;2000000.0;682000000.0;1107000000.0;4030000000.0;5216000000.0;477000000.0;9589421652.099121;352500000.0;-19000000.0;82500000.0;-4000000.0;733000000.0;55308591.65482928;79000000.0;1373000000.0;848000000.0;1261000000.0;850000000.0;-165000000.0;-165000000.0;411000000.0;130500000.0;162000000.0;;252500000.0;-62000000.0;128000000.0;1675000000.0;42000000.0;2412000000.0;646000000.0;107000000.0;91000000.0;1000000.0;145000000.0;8828000000.0;21204000000.0;3656000000.0;12920182077.227219;729600000.0;3824000000.0;18000000.0;-29000000.0;-822000000.0;649500000.0;683000000.0;2000000.0;1332000000.0;232909165.03971827;626917569.9609615;162913388.93147683;712000000.0;1532000000.0;7000000.0;-4000000.0;921000000.0;871000000.0;-28500000.0;-9000000.0;2992205.52135857;3500000.0;82500000.0;743000000.0;20500000.0;685000000.0;7993000000.0;4769000000.0;378088673.723252;-486838010.6865284;14057000000.0;7268827662.29915;1302000000.0;6548000000.0;5246000000.0;12358000000.0;12376000000.0;;;5419924832.870502;2988033.9950703382;4571000000.0
2011-12-31;1837000000.0;68500000.0;7117500000.0;1000000.0;181333333.33333334;-66000000.0;-257530136.951568;454000000.0;130500000.0;22936000000.0;11162000000.0;-53736140.30559701;2215000000.0;;2682500000.0;657000000.0;2500000.0;659500000.0;1175500000.0;4131500000.0;5530500000.0;493000000.0;8181468742.146973;368750000.0;-7000000.0;82750000.0;-2500000.0;713000000.0;51341450.18189497;73500000.0;1669500000.0;741500000.0;1101500000.0;744000000.0;-86500000.0;-86500000.0;357500000.0;147750000.0;133000000.0;;299250000.0;-68000000.0;125000000.0;1862500000.0;41000000.0;2664000000.0;705000000.0;109000000.0;96500000.0;1500000.0;175000000.0;9816000000.0;22936000000.0;3983000000.0;12417151417.551968;;4322000000.0;19000000.0;-39000000.0;-774500000.0;691750000.0;655000000.0;2500000.0;1177500000.0;211903107.91135877;;178279956.96811473;753000000.0;1659500000.0;7000000.0;-2500000.0;1139500000.0;1018000000.0;-67250000.0;-8000000.0;3049995.1003393475;-750000.0;82750000.0;762500000.0;27250000.0;657500000.0;8445000000.0;5052500000.0;183053090.14446163;-268748533.3073107;14740500000.0;7945000120.917655;1373000000.0;6708000000.0;5335000000.0;13101000000.0;13120000000.0;;;5423064097.77018;56838928.178103685;4523000000.0
