end;AccountsPayableCurrent;AccountsReceivableNetCurrent;AccrualForEnvironmentalLossContingencies;AccruedEnvironmentalLossContingenciesCurrent;AccruedEnvironmentalLossContingenciesNoncurrent;AccruedIncomeTaxesCurrent;AccruedLiabilitiesCurrent;AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment;AccumulatedOtherComprehensiveIncomeLossCumulativeChangesInNetGainLossFromCashFlowHedgesEffectNetOfTax;AccumulatedOtherComprehensiveIncomeLossNetOfTax;AdditionalPaidInCapital;AdditionalPaidInCapitalCommonStock;AssetRetirementObligationsNoncurrent;Assets;AssetsCurrent;BusinessCombinationAcquisitionRelatedCosts;CashAndCashEquivalentsAtCarryingValue;CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents;CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations;CollateralAlreadyPostedAggregateFairValue;CommonStockValue;ComprehensiveIncomeNetOfTax;CostOfGoodsAndServicesSold;CostOfGoodsSoldExcludingDepreciationDepletionAndAmortization;CostOfRevenue;DebtInstrumentCarryingAmount;DebtInstrumentUnamortizedDiscountPremiumNet;DeferredCreditsAndOtherLiabilitiesNoncurrent;DeferredFinanceCostsNet;DeferredIncomeTaxExpenseBenefit;DeferredIncomeTaxLiabilitiesNet;DeferredTaxLiabilitiesNoncurrent;DepreciationDepletionAndAmortization;DerivativeInstrumentsNotDesignatedAsHedgingInstrumentsGainLossNet;DerivativeNetLiabilityPositionAggregateFairValue;DividendsCommonStockCash;DividendsPreferredStockCash;EquityMethodInvestments;ExplorationExpense;FinanceLeaseLiabilityCurrent;FinanceLeaseLiabilityNoncurrent;GainLossOnDerivativeInstrumentsNetPretax;GainLossOnSaleOfOilAndGasProperty;IncomeLossFromContinuingOperations;IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest;IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments;IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest;IncomeLossFromDiscontinuedOperationsNetOfTax;IncomeLossFromEquityMethodInvestments;IncomeTaxExpenseBenefit;InterestAndDebtExpense;InventoryFinishedGoods;InventoryGross;InventoryLIFOReserve;InventoryNet;InventoryRawMaterials;LiabilitiesAndStockholdersEquity;LiabilitiesCurrent;LongTermDebt;LongTermDebtAndCapitalLeaseObligationsIncludingCurrentMaturities;LongTermDebtCurrent;LongTermDebtNoncurrent;LongTermInvestments;MinorityInterest;NetCashProvidedByUsedInFinancingActivities;NetCashProvidedByUsedInInvestingActivities;NetCashProvidedByUsedInOperatingActivities;NetCashProvidedByUsedInOperatingActivitiesContinuingOperations;NetIncomeLoss;NetIncomeLossAttributableToNoncontrollingInterest;NetIncomeLossAvailableToCommonStockholdersBasic;NetIncomeLossAvailableToCommonStockholdersDiluted;NonoperatingIncomeExpense;NontradeReceivablesCurrent;OperatingExpenses;OperatingLeaseLiabilityCurrent;OperatingLeaseLiabilityNoncurrent;OperatingLeaseRightOfUseAsset;OtherAssetsCurrent;OtherComprehensiveIncomeDefinedBenefitPlansNetUnamortizedGainLossArisingDuringPeriodNetOfTax;OtherComprehensiveIncomeDefinedBenefitPlansNetUnamortizedGainLossArisingDuringPeriodTax;OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationGainLossArisingDuringPeriodNetOfTax;OtherComprehensiveIncomeLossCashFlowHedgeGainLossBeforeReclassificationAfterTax;OtherComprehensiveIncomeLossCashFlowHedgeGainLossBeforeReclassificationTax;OtherComprehensiveIncomeLossCashFlowHedgeGainLossReclassificationAfterTax;OtherComprehensiveIncomeLossNetOfTax;OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent;OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIOnDerivativesNetOfTax;OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIOnDerivativesTax;OtherComprehensiveIncomeUnrealizedGainLossOnDerivativesArisingDuringPeriodNetOfTax;OtherComprehensiveIncomeUnrealizedGainLossOnDerivativesArisingDuringPeriodTax;OtherCostAndExpenseOperating;OtherInventorySupplies;OtherLiabilitiesNoncurrent;PaymentsForRepurchaseOfCommonStock;PaymentsOfDividendsCommonStock;PaymentsToAcquirePropertyPlantAndEquipment;PensionAndOtherPostretirementDefinedBenefitPlansLiabilitiesNoncurrent;PreferredStockValue;ProceedsFromIssuanceOfCommonStock;ProfitLoss;PropertyPlantAndEquipmentNet;RedeemablePreferredStockDividends;RepaymentsOfLongTermDebt;RestrictedCashAndCashEquivalents;RestrictedCashEquivalentsNoncurrent;ResultsOfOperationsExpenseFromOilAndGasProducingActivities;RetainedEarningsAccumulatedDeficit;RevenueFromContractWithCustomerExcludingAssessedTax;Revenues;SalesRevenueNet;SellingGeneralAndAdministrativeExpense;StockholdersEquity;StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest;TaxesExcludingIncomeAndExciseTaxes;TreasuryStockValue;UndistributedEarningsLossAllocatedToParticipatingSecuritiesBasic
2008-06-30;5730333333.333333;5712903902.827948;;;;;;;-149000000.0;-180000000.0;16505000000.0;;3696603370.614891;;9651928025.841833;-3625294.5823631287;1506000000.0;1578780401.887269;-6000000.0;6912909.48072565;;2166890623.1065516;;;2610000000.0;;-682036446.5076942;;120482416.59753855;49000000.0;;2203171992.453987;786000000.0;;533110.2828369136;;;501893253.8581853;58000000.0;;-1515336164.2349205;;;;-3325463876.9480705;3943000000.0;2337000000.0;-3000000.0;65000000.0;1671000000.0;32000000.0;834639499.9085978;1422926621.2691555;-421897137.84896016;1345804998.0237515;-221087238.00410122;;9549777405.019884;;;;;1665457429.2871156;;-264000000.0;-1167000000.0;780000000.0;786000000.0;2297000000.0;37000000.0;2067212016.5063343;-302447182.75464225;;;380000000.0;;667937516.3352387;1041009838.6276809;2369448851.21667;;;-720095.6706193094;-526085.5023331437;-1757150.1370472568;;;;8640875.550205614;;;;;850761993.1951798;3363040164.7594223;9000000.0;260000000.0;1071000000.0;;9762000000.0;10000000.0;2334000000.0;-30441572020.531357;96771724.84466621;7000000.0;;17925596.401557148;;-8036245791.141327;4893075570.298969;4974720832.433571;7116000000.0;;52265925323.94928;47373575099.22778;171000000.0;10711316929.783249;3926966.0065593966
2008-09-30;2574000000.0;2776000000.0;;;;110000000.0;1700000000.0;17897000000.0;-149000000.0;-590000000.0;16505000000.0;7164000000.0;5100755211.0329;41835000000.0;6658000000.0;-355043465.9471205;1452000000.0;1365417748.425881;-6000000.0;-141208469.92982927;176000000.0;636000000.0;671268982.2294023;;2780000000.0;;-661245314.0650253;;243166795.0860858;49000000.0;;2714000000.0;786000000.0;24000000.0;14902596.374901298;;;359126439.07403946;61000000.0;;6442852510.01606;;;684000000.0;466421361.3325757;3799000000.0;2310000000.0;-1000000.0;57000000.0;1546000000.0;24000000.0;605356156.8562119;1143547810.402063;1496076003.4497778;1069000000.0;1040145660.5711831;41835000000.0;5411000000.0;;;;2567000000.0;1350000000.0;61000000.0;-264000000.0;-1167000000.0;780000000.0;786000000.0;2271000000.0;38000000.0;681000000.0;1201067521.0304236;;749000000.0;295000000.0;208020018.0289465;1212192024.72649;1800355866.0571494;1456981264.5104775;-2357356.9983401336;44934.479267691924;-720095.6706193096;37334925.62965988;-15054507.279752143;-3022200.772200772;-45999999.99999998;-46000000.0;19431368.71448848;181740.47078472728;-81000000.0;;;-324709405.2603991;3111000000.0;9000000.0;260000000.0;1071000000.0;;9762000000.0;10000000.0;2309000000.0;32909000000.0;88070674.94475295;7000000.0;;17960059.84914185;;25206000000.0;3730017830.32249;3516559066.0756474;7060000000.0;;144458312646.5528;27887000000.0;162000000.0;4130000000.0;3252144.58455646
2009-03-31;2574000000.0;2776000000.0;;;;110000000.0;1700000000.0;17897000000.0;-149000000.0;-590000000.0;16505000000.0;7164000000.0;5100755192.940431;41835000000.0;6658000000.0;-355043465.9471205;1126000000.0;1051052096.9987965;-6000000.0;-141208469.92982927;176000000.0;636000000.0;671268982.2294023;;2064000000.0;;-661245314.0650253;;243166795.0860858;49000000.0;;2714000000.0;786000000.0;24000000.0;14902586.91569269;;;359126439.07403946;58000000.0;;6442852510.01606;;;684000000.0;-2687514510.74568;579000000.0;380000000.0;-3000000.0;42000000.0;241000000.0;27000000.0;445641119.7170885;1111687830.3328207;1496076003.4497778;1069000000.0;1040145660.5711831;41835000000.0;5411000000.0;;;;2567000000.0;1350000000.0;61000000.0;-264000000.0;-1167000000.0;780000000.0;786000000.0;368000000.0;9000000.0;681000000.0;-1719164498.5053246;;749000000.0;270000000.0;208020018.0289465;1212192021.7253914;1800355861.5101943;1456980088.6122355;-2357356.998340126;44934.47926769171;-720095.6706193098;37334925.62965988;-15054505.399932817;-3022200.772200772;-45999999.999999985;-46000000.0;19431359.67825864;181740.4707847273;-81000000.0;;;-381605922.513366;3111000000.0;9000000.0;260000000.0;1071000000.0;;9762000000.0;10000000.0;377000000.0;32909000000.0;87593974.32844867;7000000.0;;17960059.84914183;;25206000000.0;3466897748.181206;3069333934.6597996;3073000000.0;;145385456467.62793;27887000000.0;105000000.0;4130000000.0;3264794.929676507
2009-06-30;2574000000.0;2776000000.0;;;;110000000.0;1700000000.0;17897000000.0;-218000000.0;-590000000.0;16505000000.0;7164000000.0;5100755537.535419;41835000000.0;6658000000.0;-355043465.9471205;1755000000.0;1657604228.1265147;-2500000.0;-90175715.4691346;176000000.0;636000000.0;671268982.2294023;;2059000000.0;;-657983387.0883675;;182390303.84831187;60250000.0;;2714000000.0;780250000.0;24000000.0;14891472.472018281;;;557425962.663311;54000000.0;;484797008.9562484;;;684000000.0;-2172917383.400176;1105000000.0;696000000.0;-2000000.0;46000000.0;455000000.0;32000000.0;584000000.0;1162000000.0;81000000.0;1069000000.0;63000000.0;41835000000.0;5411000000.0;;;;2567000000.0;1350000000.0;61000000.0;-320750000.0;-1142250000.0;1141750000.0;1144250000.0;682000000.0;12000000.0;681000000.0;-565008800.7011395;;749000000.0;362000000.0;208020018.0289465;1212192078.8852797;1800355948.1128998;1325701630.897985;-2357356.9983401336;44934.47926769175;-525514.7374211086;37334925.62965988;-14844640.48800424;-3022200.772200772;-45999999.99999995;-46000000.0;19420742.228982944;181740.4707847272;-81000000.0;;;515000000.0;3111000000.0;9500000.0;262250000.0;995250000.0;;9762000000.0;8000000.0;694000000.0;32909000000.0;94762631.40517595;62000000.0;;18156826.239508346;;25206000000.0;3051353176.750193;4423495107.24435;3687000000.0;;144199351341.3731;27887000000.0;110000000.0;4130000000.0;3821840.8865973847
2009-09-30;2999000000.0;3330000000.0;;;;79000000.0;1682000000.0;18537000000.0;-210000000.0;-565000000.0;16505000000.0;7132000000.0;5097036516.146157;42214000000.0;7000000000.0;-471213529.04348654;1608000000.0;1534274721.0909994;1000000.0;-77672624.07818928;177000000.0;952000000.0;681757673.6672051;;2130000000.0;;-655095731.7698259;;183566387.43046665;71500000.0;;2813000000.0;774500000.0;76000000.0;-627332.2782294927;;;571219278.129322;56000000.0;;479505127.6620661;;;929000000.0;-2257803673.0235834;1426000000.0;943000000.0;-2000000.0;66000000.0;549000000.0;40000000.0;584000000.0;1162000000.0;81000000.0;1132000000.0;63000000.0;42214000000.0;5106000000.0;;;;2556000000.0;1450000000.0;62000000.0;-377500000.0;-1117500000.0;1503500000.0;1502500000.0;927000000.0;14000000.0;926000000.0;124795155.01331043;;622000000.0;359000000.0;208483866.1120722;1213073699.9823258;1804778553.2601435;-1157993287.4189892;-4308504.936872622;54700.584883007934;-330933.8042229073;49850829.50285653;-15864340.341584928;-3156853.281853282;25000000.00000001;25000000.0;8218330.375365522;198304.736765615;-8000000.0;;;515000000.0;3079000000.0;10000000.0;264500000.0;919500000.0;;9762000000.0;6000000.0;941000000.0;32905000000.0;92882480.66850705;117000000.0;;18352972.23597821;;25864000000.0;2582579623.48414;5658318340.652866;4104000000.0;;29935000000.0;28520000000.0;105000000.0;4150000000.0;3552069.49622372
2009-12-31;3535000000.0;3973000000.0;378000000.0;84000000.0;294000000.0;151000000.0;1820000000.0;19441000000.0;-196500000.0;-556500000.0;16505000000.0;7135000000.0;5105542855.19558;43872500000.0;8044000000.0;-347000434.2266358;1750000000.0;1727449689.2198439;4500000.0;-64528867.30241576;177000000.0;1032000000.0;685353796.4458804;;2201500000.0;2500000000.0;4481654945.737616;;104411795.49264942;82750000.0;;3024500000.0;768750000.0;17000000.0;246000000.0;;;530248912.6444397;56000000.0;;-2671079492.7935433;;;1013000000.0;-2489197326.4870567;1614000000.0;1032000000.0;-17500000.0;65500000.0;647500000.0;38500000.0;584000000.0;1162000000.0;81000000.0;1099000000.0;63000000.0;43872500000.0;5773000000.0;;;;2533500000.0;1613000000.0;82000000.0;-434250000.0;-1092750000.0;1865250000.0;1860750000.0;995500000.0;19000000.0;994500000.0;812071835.3514085;;849500000.0;354000000.0;210696230.47424802;1214505328.3595784;1812805754.239589;30206903623.294647;-813338.3540683519;37206.18309179175;-136352.87102470628;36468387.30490101;-60788113.66652929;-2844111.969111969;36500000.00000002;36500000.0;240121316.9913663;159832.89319710148;7500000.0;;;515000000.0;3127500000.0;10500000.0;266750000.0;843750000.0;;9762000000.0;4000000.0;1014500000.0;33384500000.0;136582003.07667214;172000000.0;;27059025.985687494;;26596500000.0;2181546061.546065;7600131443.496975;4360000000.0;;29935000000.0;29278500000.0;113000000.0;4155500000.0;1699503.5259420308
2010-03-31;4071000000.0;4616000000.0;378000000.0;84000000.0;294000000.0;223000000.0;1958000000.0;20345000000.0;-183000000.0;-548000000.0;16505000000.0;7138000000.0;5089325515.35699;45531000000.0;9088000000.0;-222787339.40978515;1892000000.0;1920624657.348689;8000000.0;56000000.0;177000000.0;1112000000.0;688949919.2245557;;2273000000.0;2500000000.0;4397033075.834673;;104074680.93418269;94000000.0;;3236000000.0;763000000.0;-42000000.0;246000000.0;;;486037748.39198875;56000000.0;;-2528674582.195432;;;1097000000.0;-2720590979.95053;1802000000.0;1121000000.0;-33000000.0;65000000.0;746000000.0;37000000.0;661000000.0;1231500000.0;81000000.0;1066000000.0;60000000.0;45531000000.0;6440000000.0;;;;2511000000.0;1776000000.0;102000000.0;-491000000.0;-1068000000.0;2227000000.0;2219000000.0;1064000000.0;24000000.0;1063000000.0;1499348515.6895065;;1077000000.0;349000000.0;212908594.83642378;1210565298.1335936;1812694377.2913194;30639596706.089348;2681828.22873592;19711.78130057582;58228.06217349495;23085945.106945504;-56262919.16285282;-2531370.6563706566;48000000.0;48000000.0;236425179.87497237;121361.0496285879;23000000.0;;;510500000.0;3176000000.0;11000000.0;269000000.0;768000000.0;;9762000000.0;2000000.0;1088000000.0;33864000000.0;138900253.63106272;227000000.0;;27110115.91347277;;27329000000.0;1780512499.6079886;8975540376.314804;4616000000.0;;29935000000.0;30037000000.0;121000000.0;4161000000.0;1232111.7629963607
2010-06-30;3952000000.0;4335000000.0;378000000.0;84000000.0;294000000.0;72000000.0;1923000000.0;21205000000.0;-127000000.0;-483000000.0;16505000000.0;7193000000.0;5082223995.096923;46259000000.0;9189000000.0;-352582385.8792551;2301000000.0;2320469292.55484;6750000.0;56000000.0;177000000.0;1128000000.0;688093699.5153474;;2292000000.0;2500000000.0;4324419682.351671;;106065302.50683323;139500000.0;;3321000000.0;794750000.0;67000000.0;246000000.0;;;783601519.3301907;69000000.0;;-2507141854.7501993;;;1077000000.0;-2820370960.463064;1839000000.0;1089000000.0;-14000000.0;59000000.0;809000000.0;30000000.0;738000000.0;1301000000.0;81000000.0;1220000000.0;57000000.0;46259000000.0;6062000000.0;;;;2511000000.0;1786000000.0;114000000.0;-608000000.0;-1236250000.0;2225750000.0;2219000000.0;1063000000.0;12000000.0;1062000000.0;1480313807.0600133;;872000000.0;282000000.0;211595273.5049822;1219770797.873389;1818168056.8199272;30030374909.9026;-467662.5381866116;35475.967530023205;1204486.650468352;37069774.34427157;-60840783.975682735;-3187258.6872586873;65000000.000000015;65000000.0;240322113.31757277;202045.05489033175;37000000.0;;;506000000.0;3327000000.0;;279250000.0;907250000.0;;9762000000.0;2250000.0;1075000000.0;34514000000.0;150071068.3051855;551000000.0;;27861500.142719045;;28083000000.0;1808250146.466036;9014762809.424637;4603000000.0;;30798000000.0;30912000000.0;125000000.0;4172000000.0;-718513.3304461415
2010-09-30;3832000000.0;4367000000.0;368000000.0;82000000.0;286000000.0;203000000.0;2162000000.0;22046000000.0;-102000000.0;-443000000.0;16505000000.0;7182000000.0;5069969425.641948;47503000000.0;8922000000.0;-258522405.92863786;2107000000.0;2119008894.119433;5500000.0;56000000.0;177000000.0;1231000000.0;693487883.6833602;;2323000000.0;2500000000.0;4253630853.947403;;108179002.73419164;185000000.0;;3450000000.0;826500000.0;15000000.0;222000000.0;;;508159238.6304016;83000000.0;;-2485055369.5986524;;;1203000000.0;-2962303118.966852;1978000000.0;1225000000.0;-12000000.0;69000000.0;822000000.0;25000000.0;661000000.0;1208000000.0;81000000.0;1127000000.0;59000000.0;47503000000.0;6298000000.0;;;;2512000000.0;1777000000.0;136000000.0;-725000000.0;-1404500000.0;2224500000.0;2219000000.0;1191000000.0;22000000.0;1189000000.0;1500974844.2333093;;899000000.0;277000000.0;214856840.02880603;1210750515.2487206;1814452271.292766;27466669397.772152;-52851.55912852287;33399.70885590107;2350745.2387632094;26935961.58736385;-52702782.32510455;-2618243.243243243;40000000.00000002;40000000.0;214628352.2905579;132047.6728420637;7000000.0;14000000.0;;488000000.0;3279000000.0;;289500000.0;1046500000.0;;9762000000.0;2500000.0;1213000000.0;35974000000.0;147488264.5530293;875000000.0;;28615908.77687125;;28964000000.0;1733704248.7012346;8849114351.360735;4763000000.0;;31708000000.0;31844000000.0;110000000.0;4172000000.0;-2142060.613200738
2010-12-31;4454000000.0;5188000000.0;371000000.0;80000000.0;291000000.0;282000000.0;2509000000.0;21671000000.0;-112000000.0;-482500000.0;16505000000.0;7191500000.0;5035400360.469582;50784000000.0;9756500000.0;150732381.65149808;2103500000.0;2160590244.5642037;4250000.0;42500000.0;177000000.0;1391000000.0;697811793.2148627;;2424500000.0;3600000000.0;4242928476.8240566;;112848712.98273095;230500000.0;;3587000000.0;858250000.0;22000000.0;206000000.0;;;349155081.91804886;83500000.0;;-2428852123.2078342;;;1304000000.0;-3194207694.901476;2170000000.0;1315000000.0;66000000.0;83000000.0;938000000.0;120000000.0;636000000.0;1113000000.0;72000000.0;1109000000.0;63000000.0;50784000000.0;7844500000.0;;;;3130000000.0;1935000000.0;127333333.33333333;-842000000.0;-1572750000.0;2223250000.0;2219000000.0;1370000000.0;20333333.333333332;1367500000.0;1488764054.1082287;;948500000.0;359000000.0;217561323.69231373;1204303595.6864357;1811352279.4345813;27607272024.7435;707635.2358113062;29593.23462001003;3497003.8270580657;-17156237.766522195;-35519466.210873164;-2275096.5250965254;21000000.0;21000000.0;187075870.6185791;89835.5111488337;-9000000.0;14000000.0;;414000000.0;3355500000.0;;299750000.0;1185750000.0;;9762000000.0;2750000.0;1381000000.0;38286000000.0;152999460.43763888;1199000000.0;;29469916.904701054;;30003500000.0;1827559042.6841197;8955377277.036991;5244500000.0;;32484000000.0;32854666666.666668;130500000.0;4206500000.0;-2660746.0301177297
2011-03-31;5076000000.0;6009000000.0;374000000.0;78000000.0;296000000.0;361000000.0;2856000000.0;21296000000.0;-122000000.0;-522000000.0;16505000000.0;7201000000.0;5000831033.586957;54065000000.0;10591000000.0;559987169.2316339;2100000000.0;2202171595.008975;3000000.0;29000000.0;177000000.0;1551000000.0;702135702.7463651;;2526000000.0;4700000000.0;4232226099.700712;;113472139.16133304;276000000.0;;3724000000.0;890000000.0;29000000.0;190000000.0;;;255687078.06094933;84000000.0;;-2366747922.6149063;;;1405000000.0;-3426112270.8360987;2362000000.0;1405000000.0;144000000.0;97000000.0;1054000000.0;215000000.0;668000000.0;1163000000.0;72000000.0;1091000000.0;64000000.0;54065000000.0;9391000000.0;;;;3748000000.0;2093000000.0;118666666.66666667;-959000000.0;-1741000000.0;2222000000.0;2219000000.0;1549000000.0;18666666.666666668;1546000000.0;1476553263.9831486;;998000000.0;441000000.0;220265807.3558214;1197856633.3997397;1808252222.8448148;27747874651.71485;1468122.030751137;25786.760384118737;4643262.415352924;-61248437.12040822;-18336150.09664145;-1931949.8069498069;2000000.0000000242;2000000.0;159523388.9466003;47623.34945560334;-25000000.0;14000000.0;;431000000.0;3432000000.0;13000000.0;310000000.0;1325000000.0;;9762000000.0;3000000.0;1549000000.0;40598000000.0;158692722.76969025;1523000000.0;;30323925.032530904;;31043000000.0;1921413836.6670048;9061640202.713245;5726000000.0;;33658000000.0;33865333333.333332;151000000.0;4241000000.0;-3179431.447034739
2011-06-30;5030000000.0;5542000000.0;363000000.0;-78000000.0;-285000000.0;237000000.0;2230000000.0;22100000000.0;-66000000.0;-452000000.0;16505000000.0;7221000000.0;4996285622.482485;54595000000.0;9943000000.0;209357119.72020054;1994000000.0;2065045286.5237532;250000.0;35000000.0;177000000.0;1887000000.0;719859450.726979;;2720000000.0;4200000000.0;4196350757.1074677;;116106992.50906721;294500000.0;;4002000000.0;938750000.0;77000000.0;66000000.0;;;399860650.814909;62000000.0;;-2333202396.6119237;;;1819000000.0;-3574228984.9867277;2849000000.0;1819000000.0;-2000000.0;81000000.0;1111000000.0;27000000.0;772000000.0;1274000000.0;72000000.0;1202000000.0;69000000.0;54595000000.0;8093000000.0;;;;3749000000.0;2084000000.0;110000000.0;-812000000.0;-1909500000.0;2357750000.0;2357500000.0;1817000000.0;17000000.0;1814000000.0;1756076342.2820902;;813000000.0;388000000.0;222063729.48765662;1203932259.3242254;1819279993.2121334;10535103192.706211;-1374101.3442765102;40012.97722532783;4082869.327742104;-23472336.481649466;-5739461.656919431;-2470559.8455598457;70000000.00000003;70000000.0;51835018.49515395;113880.41337915458;21000000.0;-13000000.0;;433000000.0;3484000000.0;13500000.0;326000000.0;1596750000.0;;9762000000.0;6000000.0;1817000000.0;41795000000.0;152511814.07906172;1364600000.0;;31625235.975129664;;32485000000.0;1797600586.2322333;9351005124.123947;6173000000.0;;35160000000.0;34876000000.0;162000000.0;4271000000.0;-2141624.8016402097
2011-09-30;4595000000.0;4829000000.0;355000000.0;78000000.0;277000000.0;140000000.0;2174000000.0;22996000000.0;-17000000.0;-419000000.0;16505000000.0;7273000000.0;4960230352.446326;57244000000.0;11376000000.0;-240210914.36548132;4039000000.0;4114261965.2330585;-2500000.0;70000000.0;177000000.0;1804000000.0;717975767.3667204;;2879000000.0;5900000000.0;4038269250.827389;8904000000.0;119426680.96830891;313000000.0;;4494000000.0;987500000.0;20000000.0;75000000.0;;;817172876.163533;39000000.0;;-2148919885.423982;;;1775000000.0;-4281726507.5833063;2739000000.0;1775000000.0;-4000000.0;123000000.0;1087000000.0;25000000.0;794000000.0;1321000000.0;72000000.0;1249000000.0;68000000.0;57244000000.0;7004000000.0;;;;5870000000.0;2105000000.0;101333333.33333334;-665000000.0;-2078000000.0;2493500000.0;2496000000.0;1771000000.0;15333333.333333332;1767000000.0;2015497214.1928034;;849000000.0;242000000.0;221493200.79744223;888678605.2814771;1335693736.1807277;9578843968.26371;5000000.0;-3000000.0;4000000.0;24963122.26825972;-23531606.88501076;-2891891.891891892;33000000.000000022;33000000.0;73943228.7973999;165710.53596451326;24000000.0;-13000000.0;;459000000.0;3295000000.0;14000000.0;342000000.0;1868500000.0;;9762000000.0;9000000.0;1771000000.0;43025000000.0;150372368.4575078;1206200000.0;;32723977.590234175;;33882000000.0;1583915922.0819783;9808716987.215431;6006000000.0;;36479000000.0;35886666666.666664;152000000.0;4434000000.0;-2835994.9183428176
